Gene,Log2_FoldChange,MannWhit_P_values,bonferroni_p_Values_corrected,sidak_p_Values_corrected,holm-sidak_p_Values_corrected,holm_p_Values_corrected,simes-hochberg_p_Values_corrected,hommel_p_Values_corrected,fdr_bh_p_Values_corrected,fdr_by_p_Values_corrected,fdr_tsbh_p_Values_corrected,fdr_tsbky_p_Values_corrected
Igh,0.0369837767388,3.45596730985e-08,0.000754575902433,0.0007542912952,0.000696307689044,0.000696550211301,0.000696515651628,0.00062694702968,4.48885129348e-07,4.74402553585e-06,1.98414875118e-07,2.10753356861e-07
Hcfc2,0.0196136827958,8.08718351041e-05,1.0,0.828954735266,0.7406463965,1.0,0.5,0.5,0.000342498468483,0.00361968212855,0.000151390158438,0.000160804395676
Ccdc112,0.0776470415334,4.94544101311e-12,1.0797875908e-07,1.07979789221e-07,1.06342832762e-07,1.06341818105e-07,1.06341818105e-07,1.04165824059e-07,3.24440397858e-10,3.42883609118e-09,1.43408183555e-10,1.52326059563e-10
EG635895,0.0657438203967,4.28452684339e-07,0.00935483590985,0.00931121754401,0.00827626011196,0.00831069671812,0.00831069671812,0.00699577542988,3.83709430265e-06,4.05521862167e-05,1.69606105683e-06,1.80153106442e-06
Srp72,0.000394232832318,0.33599624718,1.0,1.0,1.0,1.0,0.5,0.5,0.37506748023,1.0,0.165786216529,0.176095676466
Ceacam15,-0.0297649895288,0.00313939515845,1.0,1.0,1.0,1.0,0.5,0.5,0.00794754849201,0.0839933660719,0.003512951841,0.00373140568489
4930578N16Rik,0.0543665620624,1.11184683093e-09,2.42760637065e-05,2.42757691874e-05,2.31839615021e-05,2.31842301185e-05,2.31842301185e-05,2.19856592348e-05,2.45973643539e-08,2.59956316172e-07,1.08724541257e-08,1.15485605751e-08
Ccdc64,0.012452836059,0.0286830160864,1.0,1.0,1.0,1.0,0.5,0.5,0.051135653982,0.540425227799,0.0226028302913,0.0240083933003
Aspg,0.0114512510496,0.013944459794,1.0,1.0,1.0,1.0,0.5,0.5,0.0279346354226,0.295226139418,0.0123475847973,0.0131154226396
Efcab5,-0.0048060045977,0.267407279213,1.0,1.0,1.0,1.0,0.5,0.5,0.314500468547,1.0,0.139014565446,0.147659223145
Bclp2,-0.00701587365879,0.152723886608,1.0,1.0,1.0,1.0,0.5,0.5,0.202029390016,1.0,0.0893004324927,0.0948536036212
Sprr2e,0.0553867035682,0.000148348062239,1.0,0.960807577981,0.909698730171,1.0,0.5,0.5,0.000575457837605,0.00608170442263,0.000254362168669,0.000270179747731
