ENSMUSG00000089409	ENSMUST00000158784		83078511	83078629	Gm24884-201	Gm24884
ENSMUSG00000077607	ENSMUST00000104419		81338274	81338404	Gm25803-201	Gm25803
ENSMUSG00000064687	ENSMUST00000082753		86043394	86043494	Gm25811-201	Gm25811
ENSMUSG00000077597	ENSMUST00000104409		86509152	86509225	Gm26017-201	Gm26017
ENSMUSG00000096801	ENSMUST00000083017		83285804	83285910	Gm23412-201	Gm23412
ENSMUSG00000092661	ENSMUST00000174920		82061112	82061221	Gm22402-201	Gm22402
ENSMUSG00000082969	ENSMUST00000121575		86817794	86818577	Gm12630-001	Gm12630
ENSMUSG00000038024	ENSMUST00000082026	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-001	Dennd4c
ENSMUSG00000038024	ENSMUST00000082026	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-001	Dennd4c
ENSMUSG00000038024	ENSMUST00000082026	prenatal lethality prior to heart atrial septation	86748555	86850603	Dennd4c-001	Dennd4c
ENSMUSG00000038024	ENSMUST00000082026	decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c-001	Dennd4c
ENSMUSG00000038024	ENSMUST00000082026	decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c-001	Dennd4c
ENSMUSG00000038024	ENSMUST00000082026	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-001	Dennd4c
ENSMUSG00000038024	ENSMUST00000082026	cellular response to insulin stimulus	86748555	86850603	Dennd4c-001	Dennd4c
ENSMUSG00000038024	ENSMUST00000082026	establishment of protein localization to plasma membrane	86748555	86850603	Dennd4c-001	Dennd4c
ENSMUSG00000038024	ENSMUST00000142837	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-003	Dennd4c
ENSMUSG00000038024	ENSMUST00000142837	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-003	Dennd4c
ENSMUSG00000038024	ENSMUST00000142837	prenatal lethality prior to heart atrial septation	86748555	86850603	Dennd4c-003	Dennd4c
ENSMUSG00000038024	ENSMUST00000142837	decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c-003	Dennd4c
ENSMUSG00000038024	ENSMUST00000142837	decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c-003	Dennd4c
ENSMUSG00000038024	ENSMUST00000142837	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-003	Dennd4c
ENSMUSG00000038024	ENSMUST00000142837	cellular response to insulin stimulus	86748555	86850603	Dennd4c-003	Dennd4c
ENSMUSG00000038024	ENSMUST00000142837	establishment of protein localization to plasma membrane	86748555	86850603	Dennd4c-003	Dennd4c
ENSMUSG00000038024	ENSMUST00000128710	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-002	Dennd4c
ENSMUSG00000038024	ENSMUST00000128710	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-002	Dennd4c
ENSMUSG00000038024	ENSMUST00000128710	prenatal lethality prior to heart atrial septation	86748555	86850603	Dennd4c-002	Dennd4c
ENSMUSG00000038024	ENSMUST00000128710	decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c-002	Dennd4c
ENSMUSG00000038024	ENSMUST00000128710	decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c-002	Dennd4c
ENSMUSG00000038024	ENSMUST00000128710	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-002	Dennd4c
ENSMUSG00000038024	ENSMUST00000128710	cellular response to insulin stimulus	86748555	86850603	Dennd4c-002	Dennd4c
ENSMUSG00000038024	ENSMUST00000128710	establishment of protein localization to plasma membrane	86748555	86850603	Dennd4c-002	Dennd4c
ENSMUSG00000038024	ENSMUST00000045512	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-201	Dennd4c
